SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SARZEDO (07L/13U),,SARZEDO (07L/13U),,SEDA (19K/01UG),,SEDA (19K/01UG),,SEIA (11K/01UG),,SEIA (11K/01UG),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SENDAS (04P/03UG),,SENDAS (04P/03UG),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
21/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
22/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
23/07/1985 09:00,1.2,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
24/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
25/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
26/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
27/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
28/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
29/07/1985 09:00,5,(vco),,,0,(vco),,,3.2,(vco),,,,,,,,,,,,,,,,,,,
30/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
31/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
01/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
02/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
03/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
04/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
05/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
06/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
07/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
08/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
09/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
10/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
11/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
12/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
13/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
14/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
15/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
16/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
17/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
18/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
19/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
20/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
21/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
22/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
23/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
24/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
25/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
26/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
27/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
28/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
29/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
30/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
31/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
01/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
02/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
03/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
04/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
05/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
06/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
07/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
08/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
09/09/1985 09:00,0.2,(vco),,,0,(vco),,,1.9,(vco),,,,,,,,,,,,,,,,,,,
10/09/1985 09:00,0.1,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
