SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
17/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
18/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
19/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
20/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
21/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
22/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
23/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
24/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
25/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
26/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
27/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
28/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
29/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
30/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
01/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
02/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
03/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
04/10/1985 09:00,,,5.7,(vco),,,,,,,7.8,(vco),,,,,
05/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
06/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
07/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
08/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
09/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
