SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PONTE SABOR (06O/02UG),,PONTE SABOR (06O/02UG),,PONTE SÔR (18I/02U),,PONTE SÔR (18I/02U),,PONTÉVEL (19E/03UG),,PONTÉVEL (19E/03UG),,PORCHES (31G/02UG),,PORCHES (31G/02UG),,PORRAIS (05Q/05G),,PORRAIS (05Q/05G),,PORTA COVA (02G/02U),,PORTA COVA (02G/02U),,PORTEL (24K/01UG),,PORTEL (24K/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
04/10/1985 09:00,,,,,,,,,2.3,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
05/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0.5,(vco),,,
06/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
07/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
08/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
09/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
10/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
11/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
12/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
13/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
14/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
15/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
16/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
17/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
18/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
19/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
20/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
21/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
22/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
23/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
24/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
25/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
26/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
27/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
28/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
29/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
30/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
31/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
01/11/1985 09:00,,,,,,,,,10.7,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
02/11/1985 09:00,,,,,,,,,31,(vco),,,0,(vco),,,,,,,,,,,4.4,(vco),,,
03/11/1985 09:00,,,,,,,,,13.3,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
04/11/1985 09:00,,,,,,,,,17.7,(vco),,,12,(vco),,,,,,,,,,,3.5,(vco),,,
05/11/1985 09:00,,,,,,,,,1.5,(vco),,,0,(vco),,,,,,,,,,,18.1,(vco),,,
06/11/1985 09:00,,,,,,,,,0.2,(vco),,,0,(vco),,,,,,,,,,,0.6,(vco),,,
07/11/1985 09:00,,,,,,,,,0.2,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
08/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
09/11/1985 09:00,,,,,,,,,0.1,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
10/11/1985 09:00,,,,,,,,,7.6,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
11/11/1985 09:00,,,,,,,,,28,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
12/11/1985 09:00,,,,,,,,,0.2,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
13/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0.2,(vco),,,
14/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
15/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
16/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
17/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
18/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
19/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
20/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
21/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
22/11/1985 09:00,,,,,,,,,1.3,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
23/11/1985 09:00,,,,,,,,,0.5,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
24/11/1985 09:00,,,,,,,,,0,(vco),,,6,(vco),,,,,,,,,,,0,(vco),,,
25/11/1985 09:00,,,,,,,,,0.2,(vco),,,8,(vco),,,,,,,,,,,0,(vco),,,
26/11/1985 09:00,,,,,,,,,31.5,(vco),,,4,(vco),,,,,,,,,,,25.5,(vco),,,
27/11/1985 09:00,,,,,,,,,0.6,(vco),,,0,(vco),,,,,,,,,,,5.9,(vco),,,
28/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
29/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
30/11/1985 09:00,,,,,,,,,0.8,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
01/12/1985 09:00,,,,,,,,,7,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
02/12/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
03/12/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
04/12/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
05/12/1985 09:00,,,,,,,,,7.5,(vco),,,0,(vco),,,,,,,,,,,10.8,(vco),,,
06/12/1985 09:00,,,,,,,,,2.5,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
07/12/1985 09:00,,,,,,,,,0.2,(vco),,,20,(vco),,,,,,,,,,,2.3,(vco),,,
08/12/1985 09:00,,,,,,,,,12,(vco),,,0,(vco),,,,,,,,,,,2.6,(vco),,,
09/12/1985 09:00,,,,,,,,,0.5,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
10/12/1985 09:00,,,,,,,,,1.5,(vco),,,4,(vco),,,,,,,,,,,0,(vco),,,
11/12/1985 09:00,,,,,,,,,8.3,(vco),,,0,(vco),,,,,,,,,,,10.8,(vco),,,
