SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,OTA (19D/02UG),,OTA (19D/02UG),,OUTEIRO (03J/02UG),,OUTEIRO (03J/02UG),,PADERNE (30H/05UG),,PADERNE (30H/05UG),,PADRELA (04M/01UG),,PADRELA (04M/01UG),,PALHEIROS (05M/02U),,PALHEIROS (05M/02U),,PALME (04E/03UG),,PALME (04E/03UG),,PAMPILHOSA DA SERRA (13J/03UG),,PAMPILHOSA DA SERRA (13J/03UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
26/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
27/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,5.5,(vco),,,0,(vco),,,
28/07/1985 09:00,0,(vco),,,8,(vco),,,0,(vco),,,0,(vco),,,,,,,28,(vco),,,0,(vco),,,
29/07/1985 09:00,0,(vco),,,5,(vco),,,0,(vco),,,0.5,(vco),,,,,,,0,(vco),,,0,(vco),,,
30/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,1.8,(vco),,,
31/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
01/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
02/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
03/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
04/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
05/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
06/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
07/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
08/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
09/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,9,(vco),,,0,(vco),,,
10/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,2,(vco),,,0,(vco),,,
11/08/1985 09:00,0,(vco),,,2,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
13/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
14/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
15/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
16/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
17/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
18/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
19/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
22/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
24/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
26/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
27/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
28/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
29/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
30/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
31/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
01/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
02/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
03/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
04/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
05/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
06/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
07/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
08/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0.2,(vco),,,,,,,0,(vco),,,0,(vco),,,
09/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
10/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
11/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
13/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
14/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
15/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
16/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
17/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
18/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,8.2,(vco),,,
19/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/09/1985 09:00,6.8,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
22/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
24/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
26/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
27/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
28/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,5,(vco),,,0,(vco),,,
29/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,2.5,(vco),,,0,(vco),,,
30/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
01/10/1985 09:00,0,(vco),,,7,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,1,(vco),,,
02/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
03/10/1985 09:00,3.8,(vco),,,13,(vco),,,0,(vco),,,1.7,(vco),,,,,,,0,(vco),,,2.5,(vco),,,
