SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALVORNINHA (17C/06G),,ALVORNINHA (17C/06G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
08/02/1986 09:00,13,(vco),,,
09/02/1986 09:00,3.5,(vco),,,
10/02/1986 09:00,2.3,(vco),,,
11/02/1986 09:00,5.1,(vco),,,
12/02/1986 09:00,1.9,(vco),,,
13/02/1986 09:00,9.6,(vco),,,
14/02/1986 09:00,11.3,(vco),,,
15/02/1986 09:00,5.3,(vco),,,
16/02/1986 09:00,17.3,(vco),,,
17/02/1986 09:00,16.2,(vco),,,
18/02/1986 09:00,19.6,(vco),,,
19/02/1986 09:00,3.8,(vco),,,
20/02/1986 09:00,20.1,(vco),,,
21/02/1986 09:00,18.3,(vco),,,
22/02/1986 09:00,3,(vco),,,
23/02/1986 09:00,0,(vco),,,
24/02/1986 09:00,8,(vco),,,
25/02/1986 09:00,0,(vco),,,
26/02/1986 09:00,0,(vco),,,
27/02/1986 09:00,0,(vco),,,
28/02/1986 09:00,1.9,(vco),,,
01/03/1986 09:00,0.2,(vco),,,
02/03/1986 09:00,4.6,(vco),,,
03/03/1986 09:00,3,(vco),,,
04/03/1986 09:00,0,(vco),,,
05/03/1986 09:00,0,(vco),,,
06/03/1986 09:00,0,(vco),,,
07/03/1986 09:00,1.8,(vco),,,
08/03/1986 09:00,0,(vco),,,
09/03/1986 09:00,4.2,(vco),,,
10/03/1986 09:00,2.5,(vco),,,
11/03/1986 09:00,0,(vco),,,
12/03/1986 09:00,0,(vco),,,
13/03/1986 09:00,11,(vco),,,
14/03/1986 09:00,0,(vco),,,
15/03/1986 09:00,0,(vco),,,
16/03/1986 09:00,0,(vco),,,
17/03/1986 09:00,0,(vco),,,
18/03/1986 09:00,0,(vco),,,
19/03/1986 09:00,6.1,(vco),,,
20/03/1986 09:00,0,(vco),,,
21/03/1986 09:00,0,(vco),,,
22/03/1986 09:00,0,(vco),,,
23/03/1986 09:00,0,(vco),,,
24/03/1986 09:00,1,(vco),,,
25/03/1986 09:00,3.1,(vco),,,
26/03/1986 09:00,3,(vco),,,
27/03/1986 09:00,0,(vco),,,
28/03/1986 09:00,2.5,(vco),,,
29/03/1986 09:00,0,(vco),,,
30/03/1986 09:00,0,(vco),,,
31/03/1986 09:00,0,(vco),,,
01/04/1986 09:00,0,(vco),,,
02/04/1986 09:00,0,(vco),,,
03/04/1986 09:00,0,(vco),,,
04/04/1986 09:00,0,(vco),,,
05/04/1986 09:00,1.6,(vco),,,
06/04/1986 09:00,3.9,(vco),,,
07/04/1986 09:00,0,(vco),,,
08/04/1986 09:00,4.8,(vco),,,
09/04/1986 09:00,6,(vco),,,
10/04/1986 09:00,0,(vco),,,
11/04/1986 09:00,0,(vco),,,
12/04/1986 09:00,0,(vco),,,
13/04/1986 09:00,0,(vco),,,
14/04/1986 09:00,0,(vco),,,
15/04/1986 09:00,0,(vco),,,
16/04/1986 09:00,8.3,(vco),,,
17/04/1986 09:00,7.2,(vco),,,
18/04/1986 09:00,6.1,(vco),,,
19/04/1986 09:00,0.7,(vco),,,
20/04/1986 09:00,0.9,(vco),,,
21/04/1986 09:00,0,(vco),,,
22/04/1986 09:00,20.3,(vco),,,
23/04/1986 09:00,2.8,(vco),,,
24/04/1986 09:00,2.1,(vco),,,
25/04/1986 09:00,1,(vco),,,
26/04/1986 09:00,7.4,(vco),,,
27/04/1986 09:00,0.6,(vco),,,
28/04/1986 09:00,0.9,(vco),,,
29/04/1986 09:00,0,(vco),,,
30/04/1986 09:00,0,(vco),,,
01/05/1986 09:00,0,(vco),,,
02/05/1986 09:00,0,(vco),,,
03/05/1986 09:00,0.8,(vco),,,
04/05/1986 09:00,4,(vco),,,
05/05/1986 09:00,11.2,(vco),,,
06/05/1986 09:00,0.3,(vco),,,
07/05/1986 09:00,0,(vco),,,
08/05/1986 09:00,0,(vco),,,
09/05/1986 09:00,0,(vco),,,
10/05/1986 09:00,0,(vco),,,
11/05/1986 09:00,0,(vco),,,
12/05/1986 09:00,0,(vco),,,
13/05/1986 09:00,0,(vco),,,
14/05/1986 09:00,0,(vco),,,
15/05/1986 09:00,0,(vco),,,
16/05/1986 09:00,0,(vco),,,
17/05/1986 09:00,0,(vco),,,
18/05/1986 09:00,0,(vco),,,
19/05/1986 09:00,0,(vco),,,
20/05/1986 09:00,0,(vco),,,
21/05/1986 09:00,0,(vco),,,
22/05/1986 09:00,0,(vco),,,
23/05/1986 09:00,0,(vco),,,
24/05/1986 09:00,0,(vco),,,
25/05/1986 09:00,0,(vco),,,
26/05/1986 09:00,0,(vco),,,
27/05/1986 09:00,0,(vco),,,
28/05/1986 09:00,0,(vco),,,
29/05/1986 09:00,0,(vco),,,
30/05/1986 09:00,0,(vco),,,
31/05/1986 09:00,0,(vco),,,
01/06/1986 09:00,0,(vco),,,
02/06/1986 09:00,0,(vco),,,
03/06/1986 09:00,0,(vco),,,
04/06/1986 09:00,0,(vco),,,
05/06/1986 09:00,0,(vco),,,
06/06/1986 09:00,0,(vco),,,
07/06/1986 09:00,0,(vco),,,
08/06/1986 09:00,0,(vco),,,
09/06/1986 09:00,0,(vco),,,
10/06/1986 09:00,0,(vco),,,
11/06/1986 09:00,0,(vco),,,
12/06/1986 09:00,0,(vco),,,
13/06/1986 09:00,0,(vco),,,
14/06/1986 09:00,0,(vco),,,
15/06/1986 09:00,0,(vco),,,
16/06/1986 09:00,0,(vco),,,
17/06/1986 09:00,0,(vco),,,
18/06/1986 09:00,0,(vco),,,
19/06/1986 09:00,0,(vco),,,
20/06/1986 09:00,0,(vco),,,
21/06/1986 09:00,0,(vco),,,
22/06/1986 09:00,5.1,(vco),,,
23/06/1986 09:00,7.9,(vco),,,
