SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SANTA BARBARA DE PADRÕES (28J/03UG),,SANTA BARBARA DE PADRÕES (28J/03UG),,SANTA BARBARA DE PADRÕES (28J/03UG),,SANTA CATARINA (17C/03U),,SANTA CATARINA (17C/03U),,SANTA CATARINA (17C/03U),,SANTA CATARINA (TAVIRA) (31K/01UG),,SANTA CATARINA (TAVIRA) (31K/01UG),,SANTA CATARINA (TAVIRA) (31K/01UG),,SANTA CATARINA DA SERRA (16E/05U),,SANTA CATARINA DA SERRA (16E/05U),,SANTA CATARINA DA SERRA (16E/05U),,SANTA CLARA DO LOUREDO (26J/03UG),,SANTA CLARA DO LOUREDO (26J/03UG),,SANTA CLARA DO LOUREDO (26J/03UG),,SANTA CLARA-A-NOVA (29I/02C),,SANTA CLARA-A-NOVA (29I/02C),,SANTA CLARA-A-NOVA (29I/02C),,SANTA COMBA DÃO (11I/01G),,SANTA COMBA DÃO (11I/01G),,SANTA COMBA DÃO (11I/01G),,
,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
09/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
10/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
11/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
12/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
13/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
14/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
15/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
16/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
17/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
18/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
19/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
20/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
21/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
22/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
23/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
24/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
25/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
26/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
27/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
28/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
29/07/1985 09:00,0,(vco),,,,,1.9,(vco),,,,,0,(vco),,,,,,,,,,,1.6,(vco),,,,,0,(vco),,,,,7.1,(vco),,,,,
30/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
31/07/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
01/08/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
02/08/1985 09:00,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,0,(vco),,,,,0,(vco),,,,,
