SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
16/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/11/1985 09:00,,,18.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/11/1985 09:00,,,13.6,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/11/1985 09:00,,,5,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
25/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,11,(vco),,,,,
26/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,24.6,(vco),,,,,
27/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,10.2,(vco),,,,,
28/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
29/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
30/11/1985 09:00,,,24.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
01/12/1985 09:00,,,0.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
03/12/1985 09:00,,,10.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
04/12/1985 09:00,,,17.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
05/12/1985 09:00,,,83.5,(vco),,,,,,,,,,,,,,,8.1,(vco),,,,,
06/12/1985 09:00,,,24.8,(vco),,,,,,,,,,,,,,,1.2,(vco),,,,,
07/12/1985 09:00,,,11.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/12/1985 09:00,,,25.5,(vco),,,,,,,,,,,,,,,13.3,(vco),,,,,
09/12/1985 09:00,,,1,(vco),,,,,,,,,,,,,,,0.5,(vco),,,,,
10/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,1.3,(vco),,,,,
12/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,1.5,(vco),,,,,
13/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/12/1985 09:00,,,6.1,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/12/1985 09:00,,,45.9,(vco),,,,,,,,,,,,,,,8,(vco),,,,,
23/12/1985 09:00,,,13.4,(vco),,,,,,,,,,,,,,,0.7,(vco),,,,,
24/12/1985 09:00,,,82.3,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
